Name,Category,Style,Star,Long,Lat
Le Noir Bar & Lounge,Eatery,Restaurants,5.0,103.8567298,1.2845342
Le Petit Chef - Singapore,Eatery,Restaurants,4.5,103.832783,1.306431
Legendary Bak Kut Teh at Rangoon,Eatery,Restaurants,4.0,103.8534135,1.3162606
Lerouy,Eatery,Restaurants,4.5,103.8474108,1.281756
Les Bouchons Rochester,Eatery,Restaurants,4.5,103.7876014,1.3062487
LINO @ Binjai Park,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,103.7866954,1.3357543
Lola's Cafe,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8837674,1.3616352
Longtail Asian Brasserie & Bar,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8534359,1.2825799
Loulou - French Cuisine & Wine Bar,Eatery,Restaurants,5.0,103.841602,1.2794509
Mangiamo Pizzeria,Eatery,Restaurants|Vegetarian Friendly,4.5,103.9443323,1.331746
Matsuya Dining,Eatery,Restaurants,4.5,103.8554401,1.2956367
Meating Place,Eatery,Restaurants,4.5,103.8562586,1.2995117
Mellben Seafood,Eatery,Restaurants,4.0,103.836948,1.3686044
Merci Marcel Orchard,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,5.0,103.8296124,1.3065784
Merci Marcel Tiong Bahru,Eatery,Restaurants,4.5,103.8336932,1.2844364
mezza9,Eatery,Restaurants,4.0,103.8334,1.306262
Mr Stork,Eatery,Restaurants,4.5,103.8578838,1.2990991
MTR Singapore,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8565232,1.3130167
Muddy Murphy's Irish Pub,Eatery,Restaurants|Vegetarian Friendly,4.0,103.828947,1.3074953
My Awesome Cafe,Eatery,Restaurants,4.5,103.8472056,1.2801094
My Little Spanish Place,Eatery,Restaurants,4.0,103.8093541,1.3245063
Nanbantei,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8335671,1.3067879
Nassim Hill Bakery,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8231134,1.3056534
Neon Pigeon,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8477094,1.2880169
No Menu,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8485025,1.2812893
Noosh Halal Noodle Bar and Grill,Eatery,Restaurants|Halal,4.0,103.8563984,1.2895133
NOX - Dine In The Dark,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8458368,1.281828
Old Cheng Du,Eatery,Restaurants,4.0,103.8437077,1.2838582
One Prawn & Co,Eatery,Restaurants,5.0,103.8824526,1.3319196
OPPA Korean BBQ Buffet,Eatery,Restaurants,4.0,103.7401133,1.3330048
Opus Bar & Grill,Eatery,Restaurants,4.5,103.8293235,1.3059211
Oriole Coffee + Bar,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8378735,1.3009977
Pasta Brava Italian Restaurant,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8454855,1.280433
Plentyfull,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,103.8597786,1.292888
Portman's Bar,Eatery,Restaurants,5.0,103.8576787,1.291433
Positano Risto,Eatery,Restaurants,5.0,103.8598629,1.3010659
Prive Tiong Bahru,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,103.8332431,1.2849513
PS.Cafe Ann Siang Hill,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8462335,1.2806501
Raffles Courtyard,Eatery,Restaurants,4.0,103.8538607,1.2954411
Ramen Champion,Eatery,Restaurants,4.0,103.8541438,1.2997818
Ramen Keisuke Tori King,Eatery,Restaurants,4.0,103.8436585,1.2745604
Red House Seafood (Grand Copthorne),Eatery,Restaurants,4.0,103.8352515,1.2903687
RENNthai,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,3.5,103.8456164,1.2897826
Ricciotti,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8461647,1.2892921
River Wok Singapore,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8406567,1.2910381
Rosso Vino,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8397511,1.2910895
San Laksa Steamboat,Eatery,Restaurants,4.5,103.8570283,1.3099416
Shang Palace,Eatery,Restaurants,4.5,103.8244015,1.3111368
Shinzo Japanese Cuisine,Eatery,Restaurants,4.5,103.847793,1.2882786
Si Wei Mao Cai,Eatery,Restaurants,4.5,103.8452597,1.2836513
Sin Swee Kee Chicken Rice,Eatery,Restaurants,4.0,103.7586853,1.3482019
Solo Ristorante,Eatery,Restaurants|Gluten Free Options,4.5,103.8468933,1.2804262
Spago Bar & Lounge,Eatery,Restaurants,4.5,103.8606072,1.2834549
Spices Cafe (Concorde Hotel),Eatery,Restaurants,4.0,103.8419409,1.3006741
Spize,Eatery,Restaurants,4.0,103.9479094,1.3313414
Summer Palace,Eatery,Restaurants,4.5,103.8224678,1.3047183
Summer Pavilion,Eatery,Restaurants,4.5,103.8603033,1.2906013
Super Loco Customs House,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8536865,1.2824428
Sushi Airways,Eatery,Restaurants|Gluten Free Options,4.5,103.8597939,1.3011644
Tamashii Restaurant,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8487045,1.2861983
Tangra Chinese,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,103.8506424,1.307846
Tanjong Pagar Market And Food Centre,Eatery,Restaurants,4.0,103.8431083,1.2765639
Taratata Brasserie,Eatery,Restaurants,4.0,103.8414145,1.2801536
The Boiler (Esplanade),Eatery,Restaurants|Gluten Free Options,4.5,103.8563712,1.2896172
The Butcher's Wife,Eatery,Restaurants,4.5,103.8301992,1.2827407
The Drunken Poet,Eatery,Restaurants,4.5,103.8269733,1.3067198
The Gyu Co,Eatery,Restaurants,4.5,103.8281668,1.3137082
The Market Grill & Wine 90,Eatery,Restaurants,4.0,103.8471047,1.2799855
The Marmalade Pantry (Novena),Eatery,Restaurants,4.0,103.8448666,1.3203765
The RANCH Steakhouse & Bar,Eatery,Restaurants,4.5,103.855279,1.2965458
The Rose Veranda,Eatery,Restaurants,4.5,103.8265445,1.3111313
The Sushi Bar,Eatery,Restaurants|Gluten Free Options,4.0,103.8315534,1.3067294
The White Label,Eatery,Restaurants,5.0,103.8591051,1.3029048
Tong Le Private Dining,Eatery,Restaurants,4.0,103.853136,1.283527
Tunglok Xihe,Eatery,Restaurants,4.0,103.7934583,1.3371806
TWG Tea at ION Orchard,Eatery,Restaurants,4.0,103.8319512,1.3039288
TWG Tea Garden at Marina Bay Sands,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,103.8601595,1.2850588
Unagiya Ichinoji,Eatery,Restaurants,4.0,103.8413851,1.2912881
Uni Gallery by OosterBay,Eatery,Restaurants,4.5,103.860815,1.299739
Ushidoki Wagyu Kaiseki,Eatery,Restaurants,4.5,103.8445116,1.2779071
Usman Restaurant Pte Ltd,Eatery,Restaurants|Halal|Vegetarian Friendly,4.0,103.8539872,1.3097241
Vatos Urban Tacos,Eatery,Restaurants,4.0,103.856179,1.295766
Verre Modern Bistro & Wine Bar,Eatery,Restaurants,4.0,103.8375418,1.2899145
Violet Oon Singapore ION,Eatery,Restaurants,4.0,103.832199,1.3038316
Waku Ghin,Eatery,Restaurants|Gluten Free Options,4.5,103.8592707,1.2836602
Waterfall Ristorante Italiano,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8261646,1.3117795
Whampoa Food Center,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8540837,1.3234136
Wild Honey,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8329158,1.3061264
Winestone,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,103.825967,1.3138638
Wooloomooloo Steakhouse,Eatery,Restaurants|Gluten Free Options,4.0,103.8535323,1.2931852
Yan Ting,Eatery,Restaurants,4.5,103.825905,1.3055904
Yhingthai Palace Restaurant Pte Ltd,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8548295,1.2966831
Zorba The Greek Taverna,Eatery,Restaurants,4.0,103.8447409,1.289936
30 Bencoolen,Hotel,Mid-range|Family,3.0,103.8502808,1.2986041
5footway.inn Project Chinatown 2,Hotel,Centrally Located|Budget,2.0,103.8458026,1.2827393
7 Wonders Hostel,Hotel,Budget,2.0,103.8581924,1.3101815
ABC Hostel,Hotel,Budget,1.0,103.859375,1.3037138
Aerotel Singapore,Hotel,Quiet|Modern,3.0,103.9898793,1.3618587
Aloha Changi,Hotel,Mid-range,1.0,103.9823779,1.3912398
Amara Singapore,Hotel,Quiet|Business,4.0,103.8434106,1.2752457
Ambassador Transit Hotel Terminal 2,Hotel,Quiet|Modern,2.0,103.9864838,1.3580811
Ambassador Transit Hotel Terminal 3,Hotel,,2.0,103.9864838,1.3580811
Amrise Hotel,Hotel,Budget,2.0,103.8778684,1.3139908
"Ann Siang House,The Unlimited Collection by Oakwood",Hotel,Boutique|Romantic,4.0,103.8458104,1.2807043
Aqueen Heritage Hotel Little India,Hotel,Family,3.5,103.8518354,1.3074194
Arcadia Hotel,Hotel,,3.5,103.859177,1.3115712
Ark Hostel,Hotel,Budget|Family,2.0,103.8731383,1.3108183
Ascott Orchard Singapore,Hotel,Modern,4.0,103.8371582,1.3040188
Ascott Raffles Place Singapore,Hotel,Centrally Located|Business,5.0,103.85158,1.2820375
Atlantis Pods @ Bugis,Hotel,Budget,1.0,103.8569609,1.2981321
Backpackers @ SG,Hotel,Budget,2.0,103.8597065,1.3105213
Backpackers Inn Chinatown,Hotel,Centrally Located|Budget,1.0,103.8455568,1.2834693
Beary Best! by a Beary Good Hostel!,Hotel,Centrally Located|Budget,2.0,103.8452373,1.2840375
Bunc Hostel,Hotel,Modern|Budget,2.0,103.8548538,1.3054621
Butternut Tree Hotel,Hotel,,2.0,103.8419006,1.2806479
Capri by Fraser Changi City,Hotel,Modern|Quiet,4.0,103.9639403,1.3341871
Capsule Pod Boutique Hostel,Hotel,Budget,1.0,103.844889,1.284167
Carlton Hotel Singapore,Hotel,Centrally Located|Business,4.0,103.8527419,1.2960301
Champion Hotel City,Hotel,Charming|Centrally Located,3.0,103.8471346,1.2870934
Citadines Balestier Singapore,Hotel,,4.0,103.8525792,1.3210019
Citadines Fusionopolis Singapore,Hotel,Mid-range|Business,4.0,103.78799,1.298687
Citadines Mount Sophia Singapore,Hotel,Modern|Mid-range,3.5,103.8492058,1.3020109
Citadines Rochor Singapore,Hotel,,3.0,103.8514645,1.3050486
Coller Boutique Hostel,Hotel,Trendy|Charming,2.0,103.8325968,1.2850454
Concorde Hotel Singapore,Hotel,Centrally Located|City View,4.0,103.841536,1.3007654
Conrad Centennial Singapore,Hotel,City View|Marina View,5.0,103.8589017,1.293589
Conrad Singapore Orchard,Hotel,Classic|Business,5.0,103.8252419,1.3048184
Copthorne Kings Hotel,Hotel,Mid-range|Family,4.0,103.8366159,1.2882885
Courtyard by Marriott Singapore Novena,Hotel,Great View|City View,3.5,103.843232,1.3205847
"Crowne Plaza Changi Airport,an IHG Hotel",Hotel,Green|Business,4.5,103.9879672,1.3585609
CUBE - Boutique Capsule Hotel @ Kampong Glam,Hotel,Trendy|Centrally Located,1.0,103.8594599,1.301577
Cube Boutique Capsule Hotel At Chinatown,Hotel,Boutique|Trendy,1.0,103.8429817,1.2831547
Dao by Dorsett AMTD Singapore,Hotel,Value|Modern,4.0,103.848303,1.2766839
Days Hotel by Wyndham Singapore at Zhongshan Park,Hotel,Modern|City View,3.0,103.8475066,1.3269818
D'Hotel Singapore,Hotel,Quaint|Business,4.0,103.8349774,1.2842768
Drop Inn Singapore,Hotel,Budget,2.0,103.8592508,1.3151935
Dusit Thani Laguna Singapore,Hotel,Charming|Business,5.0,103.9624751,1.3231319
Eighteen By Three Cabins,Hotel,Budget,2.0,103.847717,1.2798559
Fairmont Singapore,Hotel,Green|Family,5.0,103.8537619,1.2942639
Far East Plaza Residences by Far East Hospitality,Hotel,Centrally Located|Mid-range,4.0,103.8429997,1.2885397
Fernloft China Town,Hotel,Budget,2.0,103.8433188,1.2811595
Fortuna Hotel,Hotel,Budget|Centrally Located,3.0,103.8528048,1.3117237
"Four Points by Sheraton Singapore,Riverview",Hotel,River View|Quiet,4.0,103.8366479,1.289185
Four Seasons Hotel Singapore,Hotel,Value|Luxury,5.0,103.8286083,1.3050626
Fragrance Hotel - Classic,Hotel,Budget,2.0,103.8495954,1.3258158
Fragrance Hotel - Oasis,Hotel,Budget|Quiet,2.0,103.8486403,1.3259757
Fragrance Hotel - Ocean View,Hotel,,2.0,103.7684708,1.2923572
Fragrance Hotel - Viva,Hotel,,2.0,103.8139868,1.2699573
"Fraser Place Robertson Walk,Singapore",Hotel,Family|Mid-range,4.0,103.8414917,1.2922579
"Fraser Residence Orchard,Singapore",Hotel,Business,4.0,103.8298277,1.3013842
Fraser Suites Singapore,Hotel,Modern|Family,5.0,103.8274543,1.293189
Furama City Centre,Hotel,Mid-range|Business,4.0,103.8446054,1.2864727
Furama RiverFront,Hotel,Family|Mid-range,4.0,103.8359952,1.287739
G4 Station,Hotel,Budget,1.0,103.8499175,1.3043766
Golden Royal Hotel,Hotel,Centrally Located|Family,2.0,103.853044,1.3090931
Goodwood Park Hotel,Hotel,Classic|Family,5.0,103.834405,1.3084774
Grand Copthorne Waterfront,Hotel,River View|Great View,5.0,103.8350276,1.2905162
Grand Hyatt Singapore,Hotel,Family|Green,5.0,103.8331003,1.3065838
Grand Mercure Singapore Roxy,Hotel,Mid-range|Family,4.0,103.9047014,1.3032177
Grand Pacific Hotel,Hotel,Centrally Located|Mid-range,4.0,103.8506113,1.2974
Grand Park City Hall,Hotel,Centrally Located|Business,5.0,103.8503844,1.2928919
Haising Hotel,Hotel,Budget,1.0,103.8546685,1.3045851
Happy Snail Hostel,Hotel,Budget,1.5,103.8310876,1.2773449
Hi Hotel Bugis,Hotel,Centrally Located,3.5,103.8597429,1.3042953
Hilton Singapore Orchard,Hotel,Centrally Located,5.0,103.8336727,1.3019204
Hmlet Cantonment,Hotel,Trendy,4.0,103.8407527,1.2743761
Hornbill Hotel,Hotel,Budget,1.0,103.8777669,1.3116445
Hotel 165,Hotel,Centrally Located,2.0,103.8562871,1.3104783
Hotel 81 - Heritage,Hotel,Centrally Located,2.0,103.8613725,1.3027796
Hotel 81 Balestier,Hotel,Budget,2.0,103.8530556,1.3213889
Hotel 81 Changi,Hotel,Budget,3.0,103.9117196,1.3186842
Hotel 81 Cosy,Hotel,Centrally Located,2.0,103.8419001,1.2797031
Hotel 81 Kovan,Hotel,,2.0,103.8789223,1.3542504
Hotel 81 Lucky,Hotel,,2.0,103.8814903,1.3118595
Hotel 81 Osaka,Hotel,,2.0,103.8350058,1.2833779
Hotel 81 Rochor,Hotel,Centrally Located,2.0,103.8540954,1.303695
Hotel 81 Selegie,Hotel,Centrally Located,2.0,103.8498765,1.3035263
Hotel 81 Tristar,Hotel,Family|Quiet,2.0,103.8971829,1.3157896
Hotel Classic by Venue,Hotel,,2.0,103.8977558,1.3156947
Hotel Clover 7,Hotel,Business|Centrally Located,3.0,103.847543,1.2875149
Hotel Conforto,Hotel,Centrally Located|Budget,2.0,103.8456015,1.2882244
Hotel Fort Canning,Hotel,Park View|Historic Hotel,5.0,103.8453867,1.2960293
Hotel Grand Central,Hotel,Centrally Located,3.0,103.8416861,1.3013335
Hotel Miramar Singapore,Hotel,River View|Classic,3.0,103.8373322,1.2884046
Hotel Nostalgia,Hotel,Value|Residential Neighborhood,4.0,103.8334609,1.2851578
Hotel NuVe Urbane,Hotel,Boutique,3.0,103.8589063,1.3073062
Hotel Re!,Hotel,Park View|Family,4.0,103.838416,1.2853495
Hotel Soloha,Hotel,Romantic,2.0,103.841949,1.2803746
ibis Budget Singapore Ametrine,Hotel,Budget,2.0,103.8774846,1.3114373
Ibis Budget Singapore Bugis,Hotel,,2.0,103.855585,1.297009
Ibis Budget Singapore Clarke Quay,Hotel,Centrally Located,2.0,103.8471873,1.2879125
ibis budget Singapore Imperial,Hotel,Family|Centrally Located,2.0,103.8623811,1.3094972
ibis budget Singapore Mount Faber,Hotel,,2.0,103.8138727,1.2697225
ibis budget Singapore West Coast,Hotel,,2.0,103.7688834,1.2921943
Ibis Singapore Novena,Hotel,Quiet|Green,3.0,103.8456258,1.3262077
ibis Singapore on Bencoolen Hotel,Hotel,Green|Modern,3.0,103.8525188,1.3012057
Jayleen 1918 Hotel,Hotel,Centrally Located,3.0,103.84797,1.2878502
JEN Singapore Tanglin by Shangri-La,Hotel,Family|Modern,4.0,103.82392,1.304358
Ji Hotel Orchard Singapore,Hotel,,4.0,103.84441,1.297724
L Hotel at Broadway,Hotel,Mid-range|Centrally Located,2.0,103.8390354,1.2882244
L Residence,Hotel,Charming,3.0,104.9201903,11.5409435
Lai Ming Hotel Cosmoland,Hotel,Budget,1.0,103.8830014,1.3129034
Lion Peak Hotel Raffles,Hotel,,3.0,103.8557604,1.2969241
Lloyd's Inn Singapore,Hotel,Quiet|Residential Neighborhood,3.0,103.8402444,1.2972972
Lodge 41,Hotel,Budget,1.0,103.8799692,1.3114657
lyf Funan Singapore,Hotel,,4.0,103.8494682,1.2917357
M Hotel Singapore City Centre,Hotel,Business,4.0,103.8450399,1.273767
M Social Singapore,Hotel,Boutique|Trendy,4.0,103.8374843,1.2907325
Marina Bay Sands,Hotel,Lagoon View|Harbor View|Chinese|Filipino|Indonesian|Japanese,5.0,103.8591065,1.2837575
"Maxwell Reserve Singapore,Autograph Collection",Hotel,Boutique|Quaint,5.0,103.8443954,1.2788723
Meadows Hostel,Hotel,Budget,2.0,103.8607382,1.3113288
Mercure Singapore Bugis,Hotel,Mid-range|Centrally Located,4.0,103.853114,1.299684
Mercure Singapore On Stevens,Hotel,Trendy|Modern,4.0,103.8284808,1.3140244
MET A Space Pod @ Chinatown,Hotel,,2.0,103.8436111,1.2827778
Metropolitan YMCA Singapore,Hotel,,3.0,103.8265488,1.3164438
Moni Gallery Hostel,Hotel,Budget,1.5,103.8590017,1.3153809
Naumi Hotel Singapore,Hotel,Boutique|Trendy,5.0,103.855164,1.29592
New Society Backpackers' Hotel,Hotel,,1.0,103.8582886,1.3102805
Oakwood Studios Singapore,Hotel,City View|Modern,5.0,103.8361804,1.3069712
"Oasia Hotel Downtown,Singapore by Far East Hospitality",Hotel,City View|Modern,4.0,103.8442824,1.275835
Oasia Residence Singapore by Far East Hospitality,Hotel,Residential Neighborhood|Business,3.5,103.7648561,1.2990979
Orange Grove Serviced Residences,Hotel,,4.0,103.8261706,1.3101809
Orchard Grand Court Serviced Apartment,Hotel,Quiet|Centrally Located,3.0,103.8385749,1.2975022
Orchard Hotel Singapore,Hotel,Value|City View,4.0,103.8286111,1.3075
Orchard Point Serviced Apartments,Hotel,Centrally Located|Mid-range,4.0,103.8407074,1.3013504
Orchard Rendezvous Hotel by Far East Hospitality,Hotel,Family|Mid-range,4.0,103.827668,1.3065228
Orchid Country Club,Hotel,Park View|Great View,4.0,103.8443315,1.411778
Oxford Hotel,Hotel,,3.0,103.8495858,1.2980018
Pan Pacific Orchard,Hotel,Business|City View,5.0,103.8299672,1.3075453
Pan Pacific Serviced Suites Orchard Singapore,Hotel,Luxury|City View,5.0,103.8377695,1.3009188
Pan Pacific Singapore,Hotel,City View|Quiet,5.0,103.8585852,1.2924176
Paradox Singapore Merchant Court at Clarke Quay,Hotel,River View|Centrally Located,4.0,103.8458053,1.2884308
Park Avenue Clemenceau,Hotel,Mid-range|Family,4.0,103.8426566,1.2923281
Park Avenue Rochester Hotel,Hotel,Modern|Mid-range,4.0,103.7888889,1.305
Park Regis Singapore,Hotel,Mid-range|Green,4.0,103.8446657,1.287965
"PARKROYAL COLLECTION Marina Bay,Singapore",Hotel,Bay View|Marina View,5.0,103.8571184,1.2917922
"PARKROYAL on Beach Road,Singapore",Hotel,Family|Green,4.0,103.8605722,1.300032
PARKROYAL on Kitchener Road,Hotel,Family|City View,4.0,103.8556366,1.310489
PARKROYAL Serviced Suites Singapore,Hotel,Family,5.0,103.860639,1.2996218
Pasir Panjang Inn,Hotel,,2.0,103.7701795,1.2920011
Prince of Wales Backpacker - Boat Quay,Hotel,Budget,2.0,103.8471664,1.2870618
Q Loft @ Mackenzie,Hotel,,3.0,103.8498673,1.3044514
Q Loft Hotel 1929 @ Chinatown,Hotel,Centrally Located|Mid-range,3.0,103.8418231,1.2808073
Quincy Hotel Singapore by Far East Hospitality,Hotel,Green|Quiet,4.0,103.8356738,1.3077786
Raffles Hotel Singapore,Hotel,Luxury|Classic,5.0,103.854483,1.294889
RedDoorz near Marine Parade Central,Hotel,Budget,2.0,103.9119891,1.3088164
RELC International Hotel,Hotel,Quiet|Family,3.5,103.8260374,1.3129185
Rendezvous Hotel Singapore by Far East Hospitality,Hotel,Art Deco Style|Mid-range,4.0,103.8491411,1.2985227
Rest Bugis Hotel,Hotel,Family|Centrally Located,3.0,103.859476,1.30392
Robertson Quay Hotel,Hotel,River View,3.0,103.8420506,1.2912564
