Name,Category,Style,Star,lat,lon
Le Noir Bar & Lounge,Eatery,Restaurants,5.0,1.2845342,103.8567298
Le Petit Chef - Singapore,Eatery,Restaurants,4.5,1.306431,103.832783
Legendary Bak Kut Teh at Rangoon,Eatery,Restaurants,4.0,1.3162606,103.8534135
Lerouy,Eatery,Restaurants,4.5,1.281756,103.8474108
Les Bouchons Rochester,Eatery,Restaurants,4.5,1.3062487,103.7876014
LINO @ Binjai Park,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.3357543,103.7866954
Longtail Asian Brasserie & Bar,Eatery,Restaurants|Vegetarian Friendly,4.0,1.2825799,103.8534359
Loulou - French Cuisine & Wine Bar,Eatery,Restaurants,5.0,1.2794509,103.841602
Mangiamo Pizzeria,Eatery,Restaurants|Vegetarian Friendly,4.5,1.331746,103.9443323
Matsuya Dining,Eatery,Restaurants,4.5,1.2956367,103.8554401
Meating Place,Eatery,Restaurants,4.5,1.2995117,103.8562586
Mellben Seafood,Eatery,Restaurants,4.0,1.3686044,103.836948
Merci Marcel Orchard,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,5.0,1.3065784,103.8296124
Merci Marcel Tiong Bahru,Eatery,Restaurants,4.5,1.2844364,103.8336932
mezza9,Eatery,Restaurants,4.0,1.306262,103.8334
Mr Stork,Eatery,Restaurants,4.5,1.2990991,103.8578838
MTR Singapore,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.3130167,103.8565232
Muddy Murphy's Irish Pub,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3074953,103.828947
My Awesome Cafe,Eatery,Restaurants,4.5,1.2801094,103.8472056
My Little Spanish Place,Eatery,Restaurants,4.0,1.3245063,103.8093541
Nanbantei,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3067879,103.8335671
Nassim Hill Bakery,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.3056534,103.8231134
Neon Pigeon,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.2880169,103.8477094
No Menu,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2812893,103.8485025
Noosh Halal Noodle Bar and Grill,Eatery,Restaurants|Halal,4.0,1.2895133,103.8563984
NOX - Dine In The Dark,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.281828,103.8458368
Old Cheng Du,Eatery,Restaurants,4.0,1.2838582,103.8437077
One Prawn & Co,Eatery,Restaurants,5.0,1.3319196,103.8824526
OPPA Korean BBQ Buffet,Eatery,Restaurants,4.0,1.3330048,103.7401133
Opus Bar & Grill,Eatery,Restaurants,4.5,1.3059211,103.8293235
Oriole Coffee + Bar,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3009977,103.8378735
Pasta Brava Italian Restaurant,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.280433,103.8454855
Plentyfull,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.292888,103.8597786
Portman's Bar,Eatery,Restaurants,5.0,1.291433,103.8576787
Positano Risto,Eatery,Restaurants,5.0,1.3010659,103.8598629
Prive Tiong Bahru,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,1.2849513,103.8332431
PS.Cafe Ann Siang Hill,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2806501,103.8462335
Raffles Courtyard,Eatery,Restaurants,4.0,1.2954411,103.8538607
Ramen Champion,Eatery,Restaurants,4.0,1.2997818,103.8541438
Ramen Keisuke Tori King,Eatery,Restaurants,4.0,1.2745604,103.8436585
Red House Seafood (Grand Copthorne),Eatery,Restaurants,4.0,1.2903687,103.8352515
RENNthai,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,3.5,1.2897826,103.8456164
Ricciotti,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2892921,103.8461647
River Wok Singapore,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2910381,103.8406567
Rosso Vino,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.2910895,103.8397511
San Laksa Steamboat,Eatery,Restaurants,4.5,1.3099416,103.8570283
Shang Palace,Eatery,Restaurants,4.5,1.3111368,103.8244015
Shinzo Japanese Cuisine,Eatery,Restaurants,4.5,1.2882786,103.847793
Si Wei Mao Cai,Eatery,Restaurants,4.5,1.2836513,103.8452597
Sin Swee Kee Chicken Rice,Eatery,Restaurants,4.0,1.3482019,103.7586853
Solo Ristorante,Eatery,Restaurants|Gluten Free Options,4.5,1.2804262,103.8468933
Spago Bar & Lounge,Eatery,Restaurants,4.5,1.2834549,103.8606072
Spices Cafe (Concorde Hotel),Eatery,Restaurants,4.0,1.3006741,103.8419409
Spize,Eatery,Restaurants,4.0,1.3313414,103.9479094
Summer Palace,Eatery,Restaurants,4.5,1.3047183,103.8224678
Summer Pavilion,Eatery,Restaurants,4.5,1.2906013,103.8603033
Super Loco Customs House,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.2824428,103.8536865
Sushi Airways,Eatery,Restaurants|Gluten Free Options,4.5,1.3011644,103.8597939
Tamashii Restaurant,Eatery,Restaurants|Vegetarian Friendly,4.0,1.2861983,103.8487045
Tangra Chinese,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,1.307846,103.8506424
Tanjong Pagar Market And Food Centre,Eatery,Restaurants,4.0,1.2765639,103.8431083
Taratata Brasserie,Eatery,Restaurants,4.0,1.2801536,103.8414145
The Boiler (Esplanade),Eatery,Restaurants|Gluten Free Options,4.5,1.2896172,103.8563712
The Drunken Poet,Eatery,Restaurants,4.5,1.3067198,103.8269733
The Gyu Co,Eatery,Restaurants,4.5,1.3137082,103.8281668
The Malayan Council,Eatery,Restaurants,4.0,1.3008556,103.8599303
The Market Grill & Wine 90,Eatery,Restaurants,4.0,1.2799855,103.8471047
The Marmalade Pantry (Novena),Eatery,Restaurants,4.0,1.3203765,103.8448666
The RANCH Steakhouse & Bar,Eatery,Restaurants,4.5,1.2965458,103.855279
The Rose Veranda,Eatery,Restaurants,4.5,1.3111313,103.8265445
The Sushi Bar,Eatery,Restaurants|Gluten Free Options,4.0,1.3067294,103.8315534
The White Label,Eatery,Restaurants,5.0,1.3029048,103.8591051
Tong Le Private Dining,Eatery,Restaurants,4.0,1.283527,103.853136
Tunglok Xihe,Eatery,Restaurants,4.0,1.3371806,103.7934583
TWG Tea at ION Orchard,Eatery,Restaurants,4.0,1.3039288,103.8319512
TWG Tea Garden at Marina Bay Sands,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,1.2850588,103.8601595
Unagiya Ichinoji,Eatery,Restaurants,4.0,1.2912881,103.8413851
Uni Gallery by OosterBay,Eatery,Restaurants,4.5,1.299739,103.860815
Ushidoki Wagyu Kaiseki,Eatery,Restaurants,4.5,1.2779071,103.8445116
Usman Restaurant Pte Ltd,Eatery,Restaurants|Halal|Vegetarian Friendly,4.0,1.3097241,103.8539872
Vatos Urban Tacos,Eatery,Restaurants,4.0,1.295766,103.856179
Verre Modern Bistro & Wine Bar,Eatery,Restaurants,4.0,1.2899145,103.8375418
Violet Oon Singapore ION,Eatery,Restaurants,4.0,1.3038316,103.832199
Waku Ghin,Eatery,Restaurants|Gluten Free Options,4.5,1.2836602,103.8592707
Waterfall Ristorante Italiano,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.3117795,103.8261646
Whampoa Food Center,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3234136,103.8540837
Winestone,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,1.3138638,103.825967
Wooloomooloo Steakhouse,Eatery,Restaurants|Gluten Free Options,4.0,1.2931852,103.8535323
Yan Ting,Eatery,Restaurants,4.5,1.3055904,103.825905
Yhingthai Palace Restaurant Pte Ltd,Eatery,Restaurants|Vegetarian Friendly,4.0,1.2966831,103.8548295
Yoshi Restaurant,Eatery,Restaurants,4.5,1.2977639,103.8288707
Zorba The Greek Taverna,Eatery,Restaurants,4.0,1.289936,103.8447409
30 Bencoolen,Hotel,Mid-range|Family,3.0,1.2986041,103.8502808
5footway.inn Project Chinatown 2,Hotel,Centrally Located|Budget,2.0,1.2827393,103.8458026
7 Wonders Hostel,Hotel,Budget,2.0,1.3101815,103.8581924
ABC Hostel,Hotel,Budget,1.0,1.3037138,103.859375
Aerotel Singapore,Hotel,Quiet|Modern,3.0,1.3618587,103.9898793
Aloha Changi,Hotel,Mid-range,1.0,1.3912398,103.9823779
Amara Singapore,Hotel,Quiet|Business,4.0,1.2752457,103.8434106
Ambassador Transit Hotel Terminal 2,Hotel,Quiet|Modern,2.0,1.3580811,103.9864838
Ambassador Transit Hotel Terminal 3,Hotel,,2.0,1.3580811,103.9864838
Amrise Hotel,Hotel,Budget,2.0,1.3139908,103.8778684
"Ann Siang House,The Unlimited Collection by Oakwood",Hotel,Boutique|Romantic,4.0,1.2807043,103.8458104
Aqueen Heritage Hotel Little India,Hotel,Family,3.5,1.3074194,103.8518354
Ark Hostel,Hotel,Budget|Family,2.0,1.3108183,103.8731383
Ascott Orchard Singapore,Hotel,Modern,4.0,1.3040188,103.8371582
Ascott Raffles Place Singapore,Hotel,Centrally Located|Business,5.0,1.2820375,103.85158
Atlantis Pods @ Bugis,Hotel,Budget,1.0,1.2981321,103.8569609
Backpackers @ SG,Hotel,Budget,2.0,1.352083,103.819836
Backpackers Inn Chinatown,Hotel,Centrally Located|Budget,1.0,1.2834693,103.8455568
Beary Best! by a Beary Good Hostel!,Hotel,Centrally Located|Budget,2.0,1.2840375,103.8452373
Bunc Hostel,Hotel,Modern|Budget,2.0,1.3054621,103.8548538
Butternut Tree Hotel,Hotel,,2.0,1.2806479,103.8419006
Capri by Fraser Changi City,Hotel,Modern|Quiet,4.0,1.3341871,103.9639403
Capsule Pod Boutique Hostel,Hotel,Budget,1.0,1.284167,103.844889
Carlton Hotel Singapore,Hotel,Centrally Located|Business,4.0,1.2960301,103.8527419
Champion Hotel City,Hotel,Charming|Centrally Located,3.0,1.2870934,103.8471346
Citadines Balestier Singapore,Hotel,,4.0,1.3210019,103.8525792
Citadines Fusionopolis Singapore,Hotel,Mid-range|Business,4.0,1.298687,103.78799
Citadines Mount Sophia Singapore,Hotel,Modern|Mid-range,3.5,1.3020109,103.8492058
Citadines Rochor Singapore,Hotel,,3.0,1.3050486,103.8514645
Coller Boutique Hostel,Hotel,Trendy|Charming,2.0,1.2850454,103.8347855
Concorde Hotel Singapore,Hotel,Centrally Located|City View,4.0,1.3007654,103.841536
Conrad Centennial Singapore,Hotel,City View|Marina View,5.0,1.293589,103.8589017
Conrad Singapore Orchard,Hotel,Classic|Business,5.0,1.3048184,103.8252419
Copthorne Kings Hotel,Hotel,Mid-range|Family,4.0,1.2882885,103.8366159
Courtyard by Marriott Singapore Novena,Hotel,Great View|City View,3.5,1.3205847,103.843232
"Crowne Plaza Changi Airport,an IHG Hotel",Hotel,Green|Business,4.5,1.3585609,103.9879672
CUBE - Boutique Capsule Hotel @ Kampong Glam,Hotel,Trendy|Centrally Located,1.0,1.301577,103.8594599
Cube Boutique Capsule Hotel At Chinatown,Hotel,Boutique|Trendy,1.0,1.2830009,103.8431352
Dao by Dorsett AMTD Singapore,Hotel,Value|Modern,4.0,1.2766839,103.848303
Days Hotel by Wyndham Singapore at Zhongshan Park,Hotel,Modern|City View,3.0,1.3269818,103.8475066
D'Hotel Singapore,Hotel,Quaint|Business,4.0,1.2842768,103.8349774
Drop Inn Singapore,Hotel,Budget,2.0,1.3151935,103.8592508
Dusit Thani Laguna Singapore,Hotel,Charming|Business,5.0,1.3231319,103.9624751
Eighteen By Three Cabins,Hotel,Budget,2.0,1.2798559,103.847717
Fairmont Singapore,Hotel,Green|Family,5.0,1.2942639,103.8537619
Far East Plaza Residences by Far East Hospitality,Hotel,Centrally Located|Mid-range,4.0,1.2885397,103.8429997
Fernloft China Town,Hotel,Budget,2.0,1.2811595,103.8433188
Fortuna Hotel,Hotel,Budget|Centrally Located,3.0,1.3117237,103.8528048
"Four Points by Sheraton Singapore,Riverview",Hotel,River View|Quiet,4.0,1.289185,103.8366479
Four Seasons Hotel Singapore,Hotel,Value|Luxury,5.0,1.3050626,103.8286083
Fragrance Hotel - Classic,Hotel,Budget,2.0,1.3258158,103.8495954
Fragrance Hotel - Oasis,Hotel,Budget|Quiet,2.0,1.3259757,103.8486403
Fragrance Hotel - Ocean View,Hotel,,2.0,1.2923572,103.7684708
Fragrance Hotel - Viva,Hotel,,2.0,1.2699573,103.8139868
"Fraser Place Robertson Walk,Singapore",Hotel,Family|Mid-range,4.0,1.2922579,103.8414917
"Fraser Residence Orchard,Singapore",Hotel,Business,4.0,1.3013842,103.8298277
Fraser Suites Singapore,Hotel,Modern|Family,5.0,1.293189,103.8274543
Furama City Centre,Hotel,Mid-range|Business,4.0,1.2864727,103.8446054
Furama RiverFront,Hotel,Family|Mid-range,4.0,1.287739,103.8359952
G4 Station,Hotel,Budget,1.0,1.3043766,103.8499175
Golden Royal Hotel,Hotel,Centrally Located|Family,2.0,1.3090931,103.853044
Goodwood Park Hotel,Hotel,Classic|Family,5.0,1.3084774,103.834405
Grand Copthorne Waterfront,Hotel,River View|Great View,5.0,1.2905162,103.8350276
Grand Hyatt Singapore,Hotel,Family|Green,5.0,1.3065838,103.8331003
Grand Mercure Singapore Roxy,Hotel,Mid-range|Family,4.0,1.3032177,103.9047014
Grand Pacific Hotel,Hotel,Centrally Located|Mid-range,4.0,1.2974,103.8506113
Grand Park City Hall,Hotel,Centrally Located|Business,5.0,1.2928919,103.8503844
Haising Hotel,Hotel,Budget,1.0,1.3045851,103.8546685
Happy Snail Hostel,Hotel,Budget,1.5,1.2773449,103.8310876
Hi Hotel Bugis,Hotel,Centrally Located,3.5,1.3042953,103.8597429
Hilton Singapore Orchard,Hotel,Centrally Located,5.0,1.3019204,103.8358614
Hmlet Cantonment,Hotel,Trendy,4.0,1.2743761,103.8407527
Hornbill Hotel,Hotel,Budget,1.0,1.3116445,103.8777669
Hotel 165,Hotel,Centrally Located,2.0,1.3104783,103.8562871
Hotel 81 - Heritage,Hotel,Centrally Located,2.0,1.3027796,103.8613725
Hotel 81 Balestier,Hotel,Budget,2.0,1.3213889,103.8530556
Hotel 81 Changi,Hotel,Budget,3.0,1.3186842,103.9117196
Hotel 81 Cosy,Hotel,Centrally Located,2.0,1.2797031,103.8419001
Hotel 81 Kovan,Hotel,,2.0,1.3542504,103.8789223
Hotel 81 Lucky,Hotel,,2.0,1.3118595,103.8814903
Hotel 81 Osaka,Hotel,,2.0,1.2833779,103.8350058
Hotel 81 Rochor,Hotel,Centrally Located,2.0,1.303695,103.8540954
Hotel 81 Selegie,Hotel,Centrally Located,2.0,1.3035263,103.8498765
Hotel 81 Tristar,Hotel,Family|Quiet,2.0,1.3157896,103.8971829
Hotel Classic by Venue,Hotel,,2.0,1.3156947,103.8977558
Hotel Clover 7,Hotel,Business|Centrally Located,3.0,1.2875149,103.847543
Hotel Conforto,Hotel,Centrally Located|Budget,2.0,1.2882244,103.8456015
Hotel Fort Canning,Hotel,Park View|Historic Hotel,5.0,1.2960293,103.8453867
Hotel Grand Central,Hotel,Centrally Located,3.0,1.3013335,103.8416861
Hotel Miramar Singapore,Hotel,River View|Classic,3.0,1.2884046,103.8373322
Hotel Nostalgia,Hotel,Value|Residential Neighborhood,4.0,1.2851578,103.8334609
Hotel NuVe Urbane,Hotel,Boutique,3.0,1.3073062,103.8589063
Hotel Re!,Hotel,Park View|Family,4.0,1.2853495,103.838416
Hotel Soloha,Hotel,Romantic,2.0,1.2803746,103.841949
ibis Budget Singapore Ametrine,Hotel,Budget,2.0,1.3114373,103.8774846
Ibis Budget Singapore Bugis,Hotel,,2.0,1.297009,103.855585
Ibis Budget Singapore Clarke Quay,Hotel,Centrally Located,2.0,1.2879125,103.8471873
ibis budget Singapore Imperial,Hotel,Family|Centrally Located,2.0,1.3094972,103.8623811
ibis budget Singapore Mount Faber,Hotel,,2.0,1.2697225,103.8138727
ibis budget Singapore West Coast,Hotel,,2.0,1.2921943,103.7688834
Ibis Singapore Novena,Hotel,Quiet|Green,3.0,1.3262077,103.8456258
ibis Singapore on Bencoolen Hotel,Hotel,Green|Modern,3.0,1.3012057,103.8525188
Jayleen 1918 Hotel,Hotel,Centrally Located,3.0,1.2878502,103.84797
JEN Singapore Tanglin by Shangri-La,Hotel,Family|Modern,4.0,1.304358,103.82392
Ji Hotel Orchard Singapore,Hotel,,4.0,1.297724,103.84441
L Hotel at Broadway,Hotel,Mid-range|Centrally Located,2.0,1.2882244,103.8390354
L Residence,Hotel,Charming,3.0,11.5409435,104.9201903
Lai Ming Hotel Cosmoland,Hotel,Budget,1.0,1.3129034,103.8830014
Lion Peak Hotel Raffles,Hotel,,3.0,1.2969241,103.8557604
Lloyd's Inn Singapore,Hotel,Quiet|Residential Neighborhood,3.0,1.2972972,103.8402444
Lodge 41,Hotel,Budget,1.0,1.3114657,103.8799692
lyf Funan Singapore,Hotel,,4.0,1.2917357,103.8494682
M Hotel Singapore City Centre,Hotel,Business,4.0,1.273767,103.8450399
M Social Singapore,Hotel,Boutique|Trendy,4.0,1.2907325,103.8374843
Marina Bay Sands,Hotel,Lagoon View|Harbor View|Chinese|Filipino|Indonesian|Japanese,5.0,1.2837575,103.8591065
"Maxwell Reserve Singapore,Autograph Collection",Hotel,Boutique|Quaint,5.0,1.2788723,103.8443954
Meadows Hostel,Hotel,Budget,2.0,1.3113288,103.8607382
Mercure Singapore Bugis,Hotel,Mid-range|Centrally Located,4.0,1.299684,103.853114
Mercure Singapore On Stevens,Hotel,Trendy|Modern,4.0,1.3140244,103.8284808
MET A Space Pod @ Chinatown,Hotel,,2.0,1.2827778,103.8436111
Metropolitan YMCA Singapore,Hotel,,3.0,1.3164438,103.8265488
Moni Gallery Hostel,Hotel,Budget,1.5,1.3153809,103.8590017
Naumi Hotel Singapore,Hotel,Boutique|Trendy,5.0,1.29592,103.855164
New Society Backpackers' Hotel,Hotel,,1.0,1.3102805,103.8582886
Oakwood Studios Singapore,Hotel,City View|Modern,5.0,1.3069712,103.8361804
"Oasia Hotel Downtown,Singapore by Far East Hospitality",Hotel,City View|Modern,4.0,1.275835,103.8442824
Oasia Residence Singapore by Far East Hospitality,Hotel,Residential Neighborhood|Business,3.5,1.2990979,103.7648561
Orange Grove Serviced Residences,Hotel,,4.0,1.3101809,103.8261706
Orchard Grand Court Serviced Apartment,Hotel,Quiet|Centrally Located,3.0,1.2975022,103.8385749
Orchard Hotel Singapore,Hotel,Value|City View,4.0,1.3075,103.8286111
Orchard Point Serviced Apartments,Hotel,Centrally Located|Mid-range,4.0,1.3013504,103.8407074
Orchard Rendezvous Hotel by Far East Hospitality,Hotel,Family|Mid-range,4.0,1.3065228,103.827668
Orchid Country Club,Hotel,Park View|Great View,4.0,1.411778,103.8443315
Oxford Hotel,Hotel,,3.0,1.2980018,103.8495858
Pan Pacific Orchard,Hotel,Business|City View,5.0,1.3075453,103.8299672
Pan Pacific Serviced Suites Orchard Singapore,Hotel,Luxury|City View,5.0,1.3009188,103.8377695
Pan Pacific Singapore,Hotel,City View|Quiet,5.0,1.2924176,103.8585852
Paradox Singapore Merchant Court at Clarke Quay,Hotel,River View|Centrally Located,4.0,1.2884308,103.8458053
Park Avenue Clemenceau,Hotel,Mid-range|Family,4.0,1.2923281,103.8426566
Park Avenue Rochester Hotel,Hotel,Modern|Mid-range,4.0,1.305,103.7888889
Park Regis Singapore,Hotel,Mid-range|Green,4.0,1.287965,103.8446657
"PARKROYAL COLLECTION Marina Bay,Singapore",Hotel,Bay View|Marina View,5.0,1.2917922,103.8571184
PARKROYAL on Kitchener Road,Hotel,Family|City View,4.0,1.310489,103.8556366
PARKROYAL Serviced Suites Singapore,Hotel,Family,5.0,1.2996218,103.860639
Pasir Panjang Inn,Hotel,,2.0,1.2920011,103.7701795
Prince of Wales Backpacker - Boat Quay,Hotel,Budget,2.0,1.2870618,103.8471664
Q Loft @ Mackenzie,Hotel,,3.0,1.3044514,103.8498673
Q Loft Hotel 1929 @ Chinatown,Hotel,Centrally Located|Mid-range,3.0,1.2808073,103.8418231
Quincy Hotel Singapore by Far East Hospitality,Hotel,Green|Quiet,4.0,1.3077786,103.8356738
Raffles Hotel Singapore,Hotel,Luxury|Classic,5.0,1.294889,103.854483
RedDoorz near Marine Parade Central,Hotel,Budget,2.0,1.3088164,103.9119891
RELC International Hotel,Hotel,Quiet|Family,3.5,1.3129185,103.8260374
Rendezvous Hotel Singapore by Far East Hospitality,Hotel,Art Deco Style|Mid-range,4.0,1.2985227,103.8491411
Rest Bugis Hotel,Hotel,Family|Centrally Located,3.0,1.30392,103.859476
Robertson Quay Hotel,Hotel,River View,3.0,1.2912564,103.8420506
Royal Plaza on Scotts,Hotel,Centrally Located|Green,5.0,1.3069695,103.8319667
Rucksack Inn @ Lavender,Hotel,Budget,2.0,1.3143551,103.8603635
Shangri-La Singapore,Hotel,Park View|Residential Neighborhood,5.0,1.310965,103.8264894
Sheraton Towers Singapore,Hotel,City View|Business,5.0,1.3118244,103.8364761
